gene_id,8b_IFN_6OFFhP1_2,8c_IFN_6OFFhP1_3,10a_IFN_24ONFLAG_1,10b_IFN_24ONFLAG_2,10c_IFN_24ONFLAG_3,11a_IFN_24ONP1_1,11b_IFN_24ONP1_2,11c_IFN_24ONP1_3
105372824,0,0,0,0,0,0,0,0
123745,0,0,0,0,0,0,0,0
8693,0,0,0,0,0,0,0,0
105374391,0,0,0,0,0,0,0,0
105375134,0,0,0,0,0,0,0,0
105377945,0,0,0,0,0,0,0,0
100151656,0,0,0,0,0,0,0,0
124903308,0,0,0,0,0,0,0,0
124906012,0,0,0,0,0,0,0,0
124902936,0,0,0,0,0,0,0,0
124902211,0,0,0,0,0,0,0,0
105369183,0,0,0,0,0,0,0,0
442132,0,0,0,0,0,0,0,0
440925,0,0,0,0,0,0,0,0
729668,0,0,0,0,0,0,0,0
104502416,0,0,0,0,0,0,0,0
124902357,0,0,0,0,0,0,0,0
100422642,0,0,0,0,0,0,0,0
147646,0,0,0,0,0,0,0,0
100533844,0,0,0,0,0,0,0,0
100288365,0,0,0,0,0,0,0,0
124900887,0,0,0,0,0,0,0,0
124902350,0,0,0,0,0,0,0,0
124903551,0,0,0,0,0,0,0,0
100847087,0,0,0,0,0,0,0,0
100189213,0,0,0,0,0,0,0,0
102724153,0,0,0,0,0,0,0,0
171558,0,0,0,0,0,0,0,0
107985647,0,0,0,0,0,0,0,0
55821,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0
149563,0,0,0,0,0,0,0,0
30820,0,0,0,0,0,0,0,0
102723753,0,0,0,0,0,0,0,0
107987102,0,0,0,0,0,0,0,0
105377495,0,0,0,0,0,0,0,0
105376399,0,0,0,0,0,0,0,0
158248,0,0,0,0,0,0,0,0
105376270,0,0,0,0,0,0,0,0
124905260,0,0,0,0,0,0,0,0
255798,0,0,0,0,0,0,0,0
124901050,0,0,0,0,0,0,0,0
54538,0,0,0,0,0,0,0,0
105377392,0,0,0,0,0,0,0,0
105377926,0,0,0,0,0,0,0,0
84850,0,0,0,0,0,0,0,0
105370259,0,0,0,0,0,0,0,0
124900723,0,0,0,0,0,0,0,0
105369318,0,0,0,0,0,0,0,0
107985580,0,0,0,0,0,0,0,0
124904425,0,0,0,0,0,0,0,0
124904213,0,0,0,0,0,0,0,0
100189074,0,0,0,0,0,0,0,0
347411,0,0,0,0,0,0,0,0
124905196,0,0,0,0,0,0,0,0
105376861,0,0,0,0,0,0,0,0
642696,0,0,0,0,0,0,0,0
645436,0,0,0,0,0,0,0,0
101929152,0,0,0,0,0,0,0,0
100507103,0,0,0,0,0,0,0,0
8843,0,0,0,0,0,0,0,0
124902472,0,0,0,0,0,0,0,0
101927397,0,0,0,0,0,0,0,0
105375221,0,0,0,0,0,0,0,0
390834,0,0,0,0,0,0,0,0
102466270,0,0,0,0,0,0,0,0
101929800,0,0,0,0,0,0,0,0
101927074,0,0,0,0,0,0,0,0
124903890,0,0,0,0,0,0,0,0
124902128,0,0,0,0,0,0,0,0
124904479,0,0,0,0,0,0,0,0
124909469,0,0,0,0,0,0,0,0
3814,0,0,0,0,0,0,0,0
105371544,0,0,0,0,0,0,0,0
105379562,0,0,0,0,0,0,0,0
100847016,0,0,0,0,0,0,0,0
124904174,0,0,0,0,0,0,0,0
102723480,0,0,0,0,0,0,0,0
101929130,0,0,0,0,0,0,0,0
124901755,0,0,0,0,0,0,0,0
124903702,0,0,0,0,0,0,0,0
693174,0,0,0,0,0,0,0,0
100422434,0,0,0,0,0,0,0,0
124902538,0,0,0,0,0,0,0,0
105374935,0,0,0,0,0,0,0,0
124901883,0,0,0,0,0,0,0,0
729330,0,0,0,0,0,0,0,0
4113,0,0,0,0,0,0,0,0
100189181,0,0,0,0,0,0,0,0
116435303,0,0,0,0,0,0,0,0
105379198,0,0,0,0,0,0,0,0
124904158,0,0,0,0,0,0,0,0
124903100,0,0,0,0,0,0,0,0
103724387,0,0,0,0,0,0,0,0
101929316,0,0,0,0,0,0,0,0
105376419,0,0,0,0,0,0,0,0
6279,0,0,0,0,0,0,0,0
124902810,0,0,0,0,0,0,0,0
100151646,0,0,0,0,0,0,0,0
100287329,0,0,0,0,0,0,0,0
