Sample	Protein	Time	Conditions
1a_IFN0hFLAG_1	FLAG	0hr	FLAG_tag
1b_IFN0hFLAG_2	FLAG	0hr	FLAG_tag
1c_IFN0hFLAG_3	FLAG	0hr	FLAG_tag
2a_IFN0hP1_1	P1	0hr	P1_expressed
2b_IFN0hP1_2	P1	0hr	P1_expressed
2c_IFN0hP1_3	P1	0hr	P1_expressed
3a_IFN0hP3_1	P3	0hr	P3_expressed
3b_IFN0hP3_2	P3	0hr	P3_expressed
3c_IFN0hP3_3	P3	0hr	P3_expressed
4a_IFN1hFLAG_1	FLAG	1hr	IFN_treatment_1h
4b_IFN1hFLAG_2	FLAG	1hr	IFN_treatment_1h
4c_IFN1hFLAG_3	FLAG	1hr	IFN_treatment_1h
5a_IFN_1OFFhP1_1	P1	1hr	IFN_treatment_1h_P1_expressed
5b_IFN_1OFFhP1_2	P1	1hr	IFN_treatment_1h_P1_expressed
5c_IFN_1OFFhP1_3	P1	1hr	IFN_treatment_1h_P1_expressed
6a_IFN_1OFFhP3_1	P3	1hr	IFN_treatment_1h_P3_expressed
6b_IFN_1OFFhP3_2	P3	1hr	IFN_treatment_1h_P3_expressed
6c_IFN_1OFFhP3_3	P3	1hr	IFN_treatment_1h_P3_expressed
7a_IFN_6OFFhFLAG_1	FLAG	6hr	IFN_treatment_6h
7b_IFN_6OFFhFLAG_2	FLAG	6hr	IFN_treatment_6h
7c_IFN_6OFFhFLAG_3	FLAG	6hr	IFN_treatment_6h
8a_IFN_6OFFhP1_1	P1	6hr	IFN_treatment_6h_P1_expressed
8b_IFN_6OFFhP1_2	P1	6hr	IFN_treatment_6h_P1_expressed
8c_IFN_6OFFhP1_3	P1	6hr	IFN_treatment_6h_P1_expressed
9a_IFN_6OFFhP3_1	P3	6hr	IFN_treatment_6h_P3_expressed
9b_IFN_6OFFhP3_2	P3	6hr	IFN_treatment_6h_P3_expressed
9c_IFN_6OFFhP3_3	P3	6hr	IFN_treatment_6h_P3_expressed
10a_IFN_24ONFLAG_1	FLAG	24hr	IFN_treatment_24h
10b_IFN_24ONFLAG_2	FLAG	24hr	IFN_treatment_24h
10c_IFN_24ONFLAG_3	FLAG	24hr	IFN_treatment_24h
11a_IFN_24ONP1_1	P1	24hr	IFN_treatment_24h_P1_expressed
11b_IFN_24ONP1_2	P1	24hr	IFN_treatment_24h_P1_expressed
11c_IFN_24ONP1_3	P1	24hr	IFN_treatment_24h_P1_expressed
12a_IFN_24ONP3_1	P3	24hr	IFN_treatment_24h_P3_expressed
12b_IFN_24ONP3_2	P3	24hr	IFN_treatment_24h_P3_expressed
12c_IFN_24ONP3_3	P3	24hr	IFN_treatment_24h_P3_expressed
13a_IFN_24OFFFLAG_1	FLAG	24hr_OFF	IFN_treatment_24h_OFF
13b_IFN_24OFFFLAG_2	FLAG	24hr_OFF	IFN_treatment_24h_OFF
13c_IFN_24OFFFLAG_3	FLAG	24hr_OFF	IFN_treatment_24h_OFF
14a_IFN_24OFFP1_1	P1	24hr_OFF	IFN_treatment_24h_OFF_P1_expressed
14b_IFN_24OFFP1_2	P1	24hr_OFF	IFN_treatment_24h_OFF_P1_expressed
14c_IFN_24OFFP1_3	P1	24hr_OFF	IFN_treatment_24h_OFF_P1_expressed
15a_IFN_24OFFP3_1	P3	24hr_OFF	IFN_treatment_24h_OFF_P3_expressed
15b_IFN_24OFFP3_2	P3	24hr_OFF	IFN_treatment_24h_OFF_P3_expressed
15c_IFN_24OFFP3_3	P3	24hr_OFF	IFN_treatment_24h_OFF_P3_expressed
