Sample,Sample,Protein,Time,Conditions
1a_IFN0hFLAG_1,1a_IFN0hFLAG_1,FLAG,0hr,FLAG_tag
1b_IFN0hFLAG_2,1b_IFN0hFLAG_2,FLAG,0hr,FLAG_tag
1c_IFN0hFLAG_3,1c_IFN0hFLAG_3,FLAG,0hr,FLAG_tag
2a_IFN0hP1_1,2a_IFN0hP1_1,P1,0hr,P1_expressed
2b_IFN0hP1_2,2b_IFN0hP1_2,P1,0hr,P1_expressed
2c_IFN0hP1_3,2c_IFN0hP1_3,P1,0hr,P1_expressed
4a_IFN1hFLAG_1,4a_IFN1hFLAG_1,FLAG,1hr,IFN_treatment_1h
4b_IFN1hFLAG_2,4b_IFN1hFLAG_2,FLAG,1hr,IFN_treatment_1h
4c_IFN1hFLAG_3,4c_IFN1hFLAG_3,FLAG,1hr,IFN_treatment_1h
5a_IFN_1OFFhP1_1,5a_IFN_1OFFhP1_1,P1,1hr,IFN_treatment_1h_P1_expressed
5b_IFN_1OFFhP1_2,5b_IFN_1OFFhP1_2,P1,1hr,IFN_treatment_1h_P1_expressed
5c_IFN_1OFFhP1_3,5c_IFN_1OFFhP1_3,P1,1hr,IFN_treatment_1h_P1_expressed
7a_IFN_6OFFhFLAG_1,7a_IFN_6OFFhFLAG_1,FLAG,6hr,IFN_treatment_6h
7b_IFN_6OFFhFLAG_2,7b_IFN_6OFFhFLAG_2,FLAG,6hr,IFN_treatment_6h
7c_IFN_6OFFhFLAG_3,7c_IFN_6OFFhFLAG_3,FLAG,6hr,IFN_treatment_6h
8a_IFN_6OFFhP1_1,8a_IFN_6OFFhP1_1,P1,6hr,IFN_treatment_6h_P1_expressed
8b_IFN_6OFFhP1_2,8b_IFN_6OFFhP1_2,P1,6hr,IFN_treatment_6h_P1_expressed
8c_IFN_6OFFhP1_3,8c_IFN_6OFFhP1_3,P1,6hr,IFN_treatment_6h_P1_expressed
10a_IFN_24ONFLAG_1,10a_IFN_24ONFLAG_1,FLAG,24hr,IFN_treatment_24h
10b_IFN_24ONFLAG_2,10b_IFN_24ONFLAG_2,FLAG,24hr,IFN_treatment_24h
10c_IFN_24ONFLAG_3,10c_IFN_24ONFLAG_3,FLAG,24hr,IFN_treatment_24h
11a_IFN_24ONP1_1,11a_IFN_24ONP1_1,P1,24hr,IFN_treatment_24h_P1_expressed
11b_IFN_24ONP1_2,11b_IFN_24ONP1_2,P1,24hr,IFN_treatment_24h_P1_expressed
11c_IFN_24ONP1_3,11c_IFN_24ONP1_3,P1,24hr,IFN_treatment_24h_P1_expressed
